time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_error,stiffness,dotproduct
1.33622,-0.3864973,1.214164,-0.24323,-0.3688212,1.247217,-0.2929641,-0.01837711,0.06223882,-0.008530749,-0.01958419,0.08359569,-0.02530283,0,0,0,4.644028,-5.355972,0.006301574,255,-0.1454147
1.355469,-0.3869488,1.21559,-0.2434846,-0.3693506,1.248909,-0.2936363,-0.03590109,0.1205421,-0.01824774,-0.0371716,0.1514577,-0.05322382,0,0,0,4.758467,-5.241533,0.005981003,255,-0.1125606
1.376396,-0.3875445,1.217453,-0.2438101,-0.3702129,1.251004,-0.2946315,-0.02448154,0.07729753,-0.01380198,-0.0287094,0.09175243,-0.03645402,0,0,0,4.984018,-5.015982,0.005712371,255,-0.08062223
1.397606,-0.3882024,1.219386,-0.2441153,-0.3717893,1.253536,-0.2961525,-0.0278552,0.08713878,-0.01522364,-0.04032092,0.09799768,-0.04653496,0,0,0,5.232405,-4.767595,0.005364329,255,-0.04797365
1.422249,-0.3886206,1.220614,-0.2442964,-0.3730618,1.254957,-0.2971693,-0.03040704,0.08933137,-0.01410437,-0.07285652,0.1170222,-0.07029597,0,0,0,5.610649,-4.389351,0.005039864,255,-0.05072654
1.44474,-0.3892391,1.222424,-0.2445548,-0.3753541,1.257218,-0.2985927,-0.0172054,0.05053359,-0.007449584,-0.05235061,0.05844907,-0.04183341,0,0,0,6.006282,-3.993718,0.004842499,255,-0.03840172
1.465706,-0.3898821,1.224173,-0.2447591,-0.3776337,1.259193,-0.2995625,-0.02767038,0.08095136,-0.01156143,-0.1025451,0.1011359,-0.06367321,0,0,0,6.118908,-3.881092,0.004555829,255,-0.03819001
1.489151,-0.3903182,1.225237,-0.2449116,-0.3788089,1.260202,-0.2998524,-0.0302286,0.0822218,-0.0096059,-0.1071711,0.0928477,-0.0455916,0,0,0,6.373528,-3.626472,0.004330035,255,-0.03985912
1.510429,-0.3911711,1.227394,-0.2451438,-0.3815807,1.262564,-0.3000556,-0.0189951,0.04635572,-0.006641534,-0.05119148,0.04395148,-0.01263138,0,0,0,6.452177,-3.547823,0.004176116,255,-0.06080324
1.531853,-0.3916557,1.228563,-0.2452574,-0.3829979,1.263695,-0.2999167,-0.03976982,0.1005481,-0.010828,-0.1292439,0.1101365,-0.009471718,0,0,0,6.576272,-3.423728,0.003922512,255,-0.09348226
1.555428,-0.3926066,1.230779,-0.2454278,-0.3852496,1.265679,-0.2995759,-0.02200327,0.05309902,-0.005157819,-0.06434285,0.05134006,0.006302498,0,0,0,6.625233,-3.374767,0.003799624,255,-0.1076915
1.577965,-0.3936893,1.233263,-0.2456651,-0.3873551,1.268013,-0.2991306,-0.04129649,0.09623509,-0.007398318,-0.09778956,0.08617048,0.01480181,0,0,0,6.63666,-3.36334,0.00361228,255,-0.1178269
1.599808,-0.3943565,1.234681,-0.2458335,-0.3884099,1.269356,-0.2988461,-0.04859803,0.111494,-0.0106539,-0.09451118,0.1048052,0.01998876,0,0,0,6.679362,-3.320638,0.003352964,255,-0.1001864
1.622932,-0.3954183,1.236968,-0.2460827,-0.390103,1.271448,-0.2984594,-0.02939601,0.06248424,-0.007415967,-0.04647453,0.05913866,0.01253677,0,0,0,6.888882,-3.111118,0.003181619,255,-0.1019822
1.646118,-0.3963677,1.238999,-0.2462781,-0.3918969,1.273551,-0.2984516,-0.04657693,0.1003022,-0.01093436,-0.07426712,0.0917838,0.01696369,0,0,0,7.10098,-2.89902,0.002915908,255,-0.0583953
1.667542,-0.397182,1.240604,-0.2464148,-0.3935977,1.275475,-0.2987594,-0.04052146,0.08668288,-0.0083391,-0.0765681,0.08977125,0.0003307147,0,0,0,7.251378,-2.748622,0.002699611,255,-0.0494595
1.688614,-0.3979698,1.241949,-0.2464682,-0.3952724,1.2775,-0.2993268,-0.03871537,0.07633977,-0.006500499,-0.08085527,0.09145471,-0.01463321,0,0,0,7.317606,-2.682394,0.002556466,255,-0.02103026
1.712677,-0.3982691,1.242553,-0.2464158,-0.3962833,1.278747,-0.2997703,-0.0378511,0.06459059,-0.002565983,-0.0804676,0.09727822,-0.02726356,0,0,0,7.434761,-2.565239,0.002517722,255,-0.06080159
1.739273,-0.3989936,1.243824,-0.2463524,-0.3983774,1.28116,-0.3007327,-0.01232906,0.02488899,0.00216127,-0.04165357,0.0513842,-0.01827256,0,0,0,8.137569,-1.862431,0.002559308,255,-0.03398902
1.758148,-0.3996309,1.244925,-0.2463804,-0.4003329,1.283434,-0.3014624,-0.02394067,0.04199883,0.002095412,-0.06918996,0.07972413,-0.03179945,0,0,0,8.569568,-1.430432,0.002622991,255,-0.05204432
1.778503,-0.4001739,1.245805,-0.2462737,-0.4015352,1.284988,-0.3018599,-0.04246632,0.07339063,-0.001866739,-0.1303023,0.1515315,-0.04862259,0,0,0,8.990489,-1.009511,0.002598308,255,-0.08804365
1.801529,-0.4008764,1.247045,-0.2462034,-0.4032583,1.287191,-0.3024427,-0.02721379,0.04410851,0.005347753,-0.06026231,0.07789794,-0.01992113,0,0,0,9.409039,-0.5909605,0.002709215,255,-0.07225805
1.822769,-0.4018485,1.248586,-0.2461681,-0.405203,1.289524,-0.3030962,-0.02872178,0.05069596,0.002875468,-0.07044653,0.09007525,-0.02382739,0,0,0,9.906573,-0.0934267,0.002771662,255,-0.01003343
1.845337,-0.4027262,1.249969,-0.2460783,-0.4073588,1.291816,-0.3035198,-0.04829801,0.07656724,0.001753222,-0.0966286,0.1158904,-0.03247015,0,0,0,9.530148,-0.4698524,0.00281815,255,-0.02822387
1.866264,-0.4032145,1.25088,-0.2461088,-0.4087209,1.293123,-0.3036718,-0.03866991,0.06091912,0.003954832,-0.09497637,0.1010031,-0.01866597,0,0,0,9.891241,-0.1087589,0.002913544,255,-0.05303162
1.889259,-0.4042081,1.252504,-0.2461898,-0.4109765,1.295184,-0.3039389,-0.02308802,0.04308148,-0.001443001,-0.06440662,0.06178977,-0.007184005,0,0,0,10.38011,0.3801117,0.002867614,255,-0.02469509
1.911285,-0.4052674,1.254181,-0.2461374,-0.4134451,1.297348,-0.3042596,-0.04333923,0.07085066,-0.003530574,-0.0983868,0.08988665,-0.01164985,0,0,0,10.49458,0.4945822,0.002784599,255,-0.04166695
1.931946,-0.4058768,1.255161,-0.246131,-0.4149077,1.298571,-0.3043457,-0.04856511,0.07687347,0.002399222,-0.1131719,0.09920426,-0.01470411,0,0,0,10.52904,0.5290422,0.00283283,255,-0.05704333
1.955956,-0.407004,1.25676,-0.2460577,-0.4170728,1.300547,-0.3043206,-0.02881775,0.04633951,0.0003043831,-0.06915838,0.05785534,-0.004069715,0,0,0,10.91533,0.9153318,0.002833563,255,0.0741303
1.978607,-0.4082822,1.258794,-0.2459883,-0.4195273,1.302903,-0.304211,-0.04735326,0.06716747,0.003079928,-0.09095804,0.08302785,0.001054187,0,0,0,11.07164,1.071641,0.002919789,255,0.08100247
1.999588,-0.4096337,1.260833,-0.2460348,-0.4218239,1.305096,-0.3040398,-0.05646618,0.08987403,0.003064965,-0.108431,0.1040561,0.004839695,0,0,0,10.99811,0.998107,0.002968181,255,0.1119154
2.020958,-0.410984,1.262804,-0.2460685,-0.4238369,1.3073,-0.3038312,-0.06270603,0.09459071,-0.00215708,-0.106557,0.1017367,0.007942478,0,0,0,10.84902,0.8490152,0.002912242,255,0.1090845
2.045654,-0.4116888,1.263902,-0.2461284,-0.4247826,1.308441,-0.3037563,-0.06499466,0.09488042,-0.001623898,-0.09689594,0.1060985,0.01004464,0,0,0,10.87981,0.8798084,0.00287126,255,0.1387145
2.068192,-0.4135268,1.266515,-0.2463989,-0.426814,1.311061,-0.3037942,-0.02856611,0.04450274,-0.002425402,-0.0383257,0.0462614,0.003034168,0,0,0,10.86509,0.8650942,0.002798651,255,0.1095519
2.090034,-0.415092,1.268872,-0.2467152,-0.4287087,1.31356,-0.3039272,-0.08116788,0.1153976,-0.01194512,-0.08971214,0.1157029,-0.001674107,0,0,0,10.87524,0.8752365,0.002519293,255,0.1544484
2.11203,-0.4168066,1.27122,-0.2470334,-0.4304389,1.316351,-0.304203,-0.07238968,0.1089946,-0.01463259,-0.08763012,0.1155445,-0.006152964,0,0,0,10.45433,0.4543343,0.002179366,255,0.183534
2.133507,-0.4177135,1.272499,-0.2471967,-0.4313042,1.317988,-0.3044046,-0.07874501,0.1078366,-0.01460943,-0.07946084,0.1281918,-0.01266589,0,0,0,10.376,0.3760023,0.001852802,255,0.3309091
2.162552,-0.419808,1.275294,-0.2477595,-0.4326745,1.321337,-0.3048203,-0.03605551,0.05085589,-0.006492645,-0.03439799,0.06508284,-0.008011544,0,0,0,10.15675,0.1567488,0.001683742,255,0.3601063
