time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_errorstiffness,dotproduct
1.709,-0.5622985,1.068542,-0.1286334,-0.5859001,1.162898,-0.08449394,-1.132136,-0.05264744,0.272205,-0.8926689,-0.07414534,0.295627,0,0,0,0,-10,0.2308113,255,0
1.729286,-0.5730908,1.068489,-0.1261947,-0.5962525,1.162177,-0.08140266,-0.618723,-0.01445271,0.1440345,-0.4995267,-0.03757925,0.1567261,0,0,0,0,-10,0.2417183,255,0
1.753082,-0.5830287,1.068604,-0.1239962,-0.6050136,1.161622,-0.07890433,-0.5081071,-0.00251998,0.1148134,-0.4873973,-0.03394958,0.1455387,0,0,0,0,-10,0.2506168,255,0
1.777443,-0.5937663,1.068933,-0.1216497,-0.6153948,1.161061,-0.07609123,-0.4326065,0.004997301,0.09570377,-0.3813803,-0.02418217,0.1087549,0,0,0,0,-10,0.2588935,255,0
1.799248,-0.6064509,1.069548,-0.1189354,-0.6279361,1.160497,-0.07290035,-0.4429985,0.01360364,0.0968091,-0.4282932,-0.02313995,0.1160588,0,0,0,0,-10,0.2679236,255,0
1.821365,-0.6177104,1.070321,-0.116556,-0.6383601,1.160103,-0.07041776,-0.5797049,0.02806289,0.1240466,-0.5731564,-0.02578561,0.1458279,0,0,0,0,-10,0.2786829,255,0
1.843941,-0.629034,1.071354,-0.1141818,-0.6502602,1.159742,-0.06780249,-0.5169166,0.03551883,0.1092354,-0.4785628,-0.01807137,0.1139749,0,0,0,0,-10,0.2868813,255,0
1.86441,-0.6439577,1.072999,-0.1111624,-0.6682709,1.159362,-0.06425673,-0.4939138,0.04506032,0.1035618,-0.5190568,-0.01576539,0.1140729,0,0,0,0,-10,0.2875718,255,0
1.88694,-0.6521777,1.074053,-0.1095666,-0.6763654,1.159282,-0.06279135,-0.7031222,0.07750719,0.1422566,-0.8485605,-0.01790528,0.1670561,0,0,0,0,-10,0.2878891,255,0
1.910446,-0.6623641,1.075469,-0.1076371,-0.6880744,1.159257,-0.06083602,-0.3755337,0.04812761,0.07290487,-0.3698044,-0.003616243,0.06694678,0,0,0,0,-10,0.2877687,255,0
1.932365,-0.6732785,1.077039,-0.1056479,-0.7012948,1.159313,-0.05886936,-0.4364657,0.06066116,0.08267356,-0.5017035,-0.00110841,0.08378197,0,0,0,0,-10,0.2873763,255,0
1.954216,-0.6849777,1.078712,-0.1036415,-0.7118734,1.15939,-0.05755556,-0.495007,0.07122621,0.09021951,-0.5995972,0.002546496,0.08919496,0,0,0,0,-10,0.286712,255,0
1.976707,-0.6945018,1.080073,-0.1020769,-0.724216,1.159482,-0.05631101,-0.5393758,0.07714672,0.09250242,-0.4877056,0.003577867,0.06057092,0,0,0,0,-10,0.2857548,255,0
1.998352,-0.7056172,1.081648,-0.1003661,-0.7369264,1.159652,-0.05529797,-0.4272197,0.06102948,0.07017881,-0.5536528,0.004117471,0.05582649,0,0,0,0,-10,0.2848119,255,0
2.022888,-0.716665,1.08322,-0.09874427,-0.7487363,1.159957,-0.05449939,-0.5004885,0.07093782,0.07703538,-0.5723066,0.007632686,0.04561362,0,0,0,0,-10,0.2835148,255,0
2.045448,-0.7269638,1.084774,-0.09728372,-0.7605631,1.160437,-0.05384243,-0.4608729,0.06555836,0.06765446,-0.4926599,0.01274069,0.03331377,0,0,0,0,-10,0.2820463,255,0
2.067352,-0.7414437,1.087091,-0.09539402,-0.776357,1.161308,-0.05337036,-0.4525226,0.06826705,0.06417616,-0.5196661,0.02109873,0.0288667,0,0,0,0,-10,0.2804896,255,0
2.089928,-0.7501421,1.088596,-0.09440339,-0.7854181,1.161882,-0.05339289,-0.6510854,0.1042024,0.08496998,-0.7101683,0.03916166,0.02122642,0,0,0,0,-10,0.2779675,255,0
2.111366,-0.7630648,1.090988,-0.09322792,-0.7993467,1.162796,-0.05386698,-0.393551,0.06811465,0.04482007,-0.4099607,0.02595357,-0.001019374,0,0,0,0,-10,0.2762148,255,0
2.132652,-0.7714655,1.092605,-0.0926981,-0.8080679,1.163369,-0.05446076,-0.6023487,0.1114809,0.0547903,-0.6492349,0.04261869,-0.02209837,0,0,0,0,-10,0.2732281,255,0
2.161125,-0.7798078,1.094269,-0.09234399,-0.8176816,1.16401,-0.0553329,-0.3875726,0.07458861,0.02444397,-0.4023616,0.02641015,-0.02739462,0,0,0,0,-10,0.2710364,255,0
2.180878,-0.7905096,1.096462,-0.09214312,-0.8283098,1.164714,-0.05661571,-0.2911196,0.05807791,0.01235731,-0.3354861,0.02238502,-0.03043464,0,0,0,0,-10,0.2686737,255,0
2.199287,-0.8034765,1.099262,-0.09229773,-0.8413658,1.165623,-0.05854762,-0.566523,0.1160895,0.01063333,-0.5626231,0.03723874,-0.06790817,0,0,0,0,-10,0.2653924,255,0
2.221634,-0.8102453,1.10077,-0.09253514,-0.8486263,1.166194,-0.0598098,-0.6803818,0.1469238,-0.00811274,-0.6850574,0.04773194,-0.1013686,0,0,0,0,-10,0.2610124,255,0
2.24408,-0.8194213,1.102867,-0.09302521,-0.8578254,1.166939,-0.06151193,-0.306988,0.06838235,-0.01076719,-0.3292928,0.02588668,-0.05724481,0,0,0,0,-10,0.2585791,255,0
2.266388,-0.8296143,1.105275,-0.0937162,-0.8678445,1.167857,-0.06354332,-0.4078395,0.09318837,-0.02178175,-0.4088648,0.03309384,-0.07565329,0,0,0,0,-10,0.2551286,255,0
2.289955,-0.8382716,1.107359,-0.09439594,-0.8760293,1.168612,-0.06534898,-0.446231,0.1054348,-0.03025061,-0.4386168,0.04021063,-0.08893047,0,0,0,0,-10,0.2511665,255,0
2.311188,-0.8517964,1.110551,-0.09563506,-0.8881024,1.169663,-0.06834316,-0.3787498,0.0911893,-0.02973757,-0.358079,0.03302841,-0.07899595,0,0,0,0,-10,0.2477422,255,0
2.332588,-0.8611187,1.112641,-0.09660673,-0.8970644,1.170407,-0.07076067,-0.6308607,0.1488545,-0.0577986,-0.563145,0.0490436,-0.139663,0,0,0,0,-10,0.2423565,255,0
2.356163,-0.8705207,1.114658,-0.09763849,-0.9053591,1.171052,-0.07312214,-0.4261914,0.09556483,-0.04442252,-0.4097244,0.03401312,-0.1105222,0,0,0,0,-10,0.2386605,255,0
2.37912,-0.8837687,1.117339,-0.09916013,-0.9178159,1.17198,-0.07675833,-0.4102343,0.08802326,-0.0450181,-0.3619185,0.02811356,-0.1030371,0,0,0,0,-10,0.2349931,255,0
2.399994,-0.8922499,1.118932,-0.1001363,-0.9262341,1.172576,-0.07920587,-0.5725148,0.1158506,-0.06575843,-0.5383232,0.04012632,-0.1571387,0,0,0,0,-10,0.2299617,255,0
2.421204,-0.9029038,1.120764,-0.101334,-0.934847,1.1731,-0.08180279,-0.4036487,0.07578749,-0.04645799,-0.4006502,0.0283735,-0.1164868,0,0,0,0,-10,0.2268761,255,0
2.44413,-0.9125043,1.122247,-0.1024189,-0.9430469,1.1735,-0.08439064,-0.5006919,0.08613639,-0.05628698,-0.404771,0.02458318,-0.1220447,0,0,0,0,-10,0.2231954,255,0
2.466324,-0.922595,1.123644,-0.1035706,-0.9514741,1.173817,-0.08711141,-0.4248317,0.06562289,-0.04800916,-0.3628566,0.01770341,-0.1145156,0,0,0,0,-10,0.2200417,255,0
2.488029,-0.9325007,1.124823,-0.1047307,-0.9599578,1.174026,-0.08986139,-0.448649,0.06209188,-0.05120527,-0.374682,0.01413034,-0.1209692,0,0,0,0,-10,0.2168898,255,0
2.510223,-0.9413962,1.125716,-0.1057818,-0.9685305,1.174122,-0.09261614,-0.4648591,0.05535043,-0.05444415,-0.3981326,0.009773317,-0.1290531,0,0,0,0,-10,0.2139512,255,0
